date,week_start,user_login,email,team,role,editor_primary,language_primary,suggestions,acceptances,acceptance_rate_pct,ide_chat_interactions,dotcom_chat_interactions,last_activity_at,last_activity_bucket,repository,model,pr_summaries_created
2025-08-25,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,82,31,37.8,0,0,2025-10-10,0-7,mobile/app,a-custom-model,0
2025-08-25,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,155,111,71.61,0,3,2025-09-24,0-7,payments/api,default,1
2025-08-25,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,79,50,63.29,0,1,2025-09-22,0-7,mobile/app,default,0
2025-08-25,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,169,93,55.03,0,3,2025-10-11,0-7,demo/repo2,a-custom-model,0
2025-08-25,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,165,76,46.06,0,3,2025-09-22,0-7,payments/api,default,0
2025-08-25,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,98,39,39.8,0,2,2025-10-12,0-7,payments/api,default,0
2025-08-25,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,131,73,55.73,0,2,2025-09-19,0-7,payments/api,default,1
2025-08-25,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,75,37,49.33,0,1,2025-10-08,0-7,mobile/app,default,0
2025-08-25,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,171,110,64.33,0,3,2025-10-01,0-7,mobile/app,default,1
2025-08-25,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,154,101,65.58,0,2,2025-09-16,0-7,mobile/app,default,0
2025-08-25,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,118,72,61.02,0,2,2025-10-10,0-7,mobile/app,default,1
2025-08-25,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,136,94,69.12,0,2,2025-09-17,0-7,mobile/app,default,1
2025-08-25,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,96,45,46.88,0,2,2025-09-16,0-7,demo/repo2,default,0
2025-08-25,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,107,65,60.75,0,2,2025-10-12,0-7,payments/api,default,0
2025-08-25,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,123,66,53.66,0,2,2025-09-13,0-7,mobile/app,a-custom-model,0
2025-08-25,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,140,85,60.71,0,2,2025-10-07,0-7,demo/repo1,a-custom-model,1
2025-08-25,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,99,67,67.68,0,2,2025-09-13,0-7,demo/repo1,default,1
2025-08-25,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,129,71,55.04,0,2,2025-10-09,0-7,mobile/app,default,0
2025-08-25,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,99,64,64.65,0,2,2025-10-13,0-7,payments/api,a-custom-model,0
2025-08-25,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,139,95,68.35,0,2,2025-09-20,0-7,payments/api,default,1
2025-08-26,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,145,59,40.69,0,0,2025-10-10,0-7,payments/api,default,1
2025-08-26,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,271,197,72.69,0,3,2025-09-24,0-7,demo/repo2,default,2
2025-08-26,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,137,90,65.69,0,1,2025-09-22,0-7,demo/repo1,default,1
2025-08-26,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,294,166,56.46,0,3,2025-10-11,0-7,payments/api,default,2
2025-08-26,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,286,136,47.55,0,3,2025-09-22,0-7,mobile/app,default,1
2025-08-26,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,170,72,42.35,0,2,2025-10-12,0-7,demo/repo1,a-custom-model,0
2025-08-26,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,227,130,57.27,0,2,2025-09-19,0-7,demo/repo2,a-custom-model,1
2025-08-26,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,130,68,52.31,0,1,2025-10-08,0-7,demo/repo1,a-custom-model,0
2025-08-26,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,296,194,65.54,0,3,2025-10-01,0-7,payments/api,default,1
2025-08-26,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,267,178,66.67,0,3,2025-09-16,0-7,demo/repo1,a-custom-model,2
2025-08-26,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,205,130,63.41,0,2,2025-10-10,0-7,payments/api,default,1
2025-08-26,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,237,168,70.89,0,2,2025-09-17,0-7,demo/repo2,default,0
2025-08-26,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,166,81,48.8,0,2,2025-09-16,0-7,demo/repo1,default,0
2025-08-26,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,185,116,62.7,0,2,2025-10-12,0-7,demo/repo2,default,1
2025-08-26,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,214,119,55.61,0,2,2025-09-13,0-7,demo/repo2,a-custom-model,1
2025-08-26,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,243,151,62.14,0,2,2025-10-07,0-7,demo/repo1,default,1
2025-08-26,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,173,121,69.94,0,2,2025-09-13,0-7,demo/repo2,default,1
2025-08-26,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,223,126,56.5,0,2,2025-10-09,0-7,mobile/app,a-custom-model,0
2025-08-26,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,171,114,66.67,0,2,2025-10-13,0-7,mobile/app,default,0
2025-08-26,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,242,169,69.83,0,2,2025-09-20,0-7,payments/api,default,1
2025-08-27,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,150,71,47.33,0,1,2025-10-10,0-7,demo/repo1,default,0
2025-08-27,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,282,215,76.24,0,3,2025-09-24,0-7,demo/repo2,default,1
2025-08-27,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,143,105,73.43,0,2,2025-09-22,0-7,mobile/app,default,1
2025-08-27,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,306,183,59.8,0,4,2025-10-11,0-7,demo/repo1,default,0
2025-08-27,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,297,152,51.18,0,3,2025-09-22,0-7,payments/api,default,1
2025-08-27,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,177,85,48.02,0,2,2025-10-12,0-7,mobile/app,default,1
2025-08-27,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,236,145,61.44,0,3,2025-09-19,0-7,demo/repo1,a-custom-model,1
2025-08-27,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,135,80,59.26,0,2,2025-10-08,0-7,payments/api,default,0
2025-08-27,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,308,212,68.83,0,4,2025-10-01,0-7,demo/repo1,default,1
2025-08-27,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,278,196,70.5,0,3,2025-09-16,0-7,demo/repo2,default,0
2025-08-27,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,213,145,68.08,0,2,2025-10-10,0-7,payments/api,default,0
2025-08-27,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,246,184,74.8,0,3,2025-09-17,0-7,mobile/app,default,1
2025-08-27,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,173,95,54.91,0,2,2025-09-16,0-7,payments/api,default,1
2025-08-27,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,193,131,67.88,0,2,2025-10-12,0-7,demo/repo2,default,1
2025-08-27,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,223,134,60.09,0,3,2025-09-13,0-7,payments/api,default,1
2025-08-27,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,253,167,66.01,0,3,2025-10-07,0-7,demo/repo2,default,1
2025-08-27,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,179,135,75.42,0,2,2025-09-13,0-7,demo/repo2,default,1
2025-08-27,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,232,141,60.78,0,3,2025-10-09,0-7,payments/api,default,1
2025-08-27,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,178,129,72.47,0,2,2025-10-13,0-7,mobile/app,a-custom-model,0
2025-08-27,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,251,186,74.1,0,3,2025-09-20,0-7,demo/repo1,a-custom-model,1
2025-08-28,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,201,93,46.27,0,4,2025-10-10,0-7,mobile/app,default,0
