acceptance_rate_pct,acceptances,adoption_rate,date,dotcom_chat_interactions,dotcom_chat_total_chats,editor_primary,email,entity_type,estimated_time_saved_hours,ide_chat_interactions,ide_chat_total_chats,is_custom_model,language_primary,last_activity_at,last_activity_bucket,model,repository,role,suggestions,sum_acceptances,sum_active_users,sum_dotcom_chats,sum_engaged_users,sum_ide_chats,sum_suggestions,team,total_active_users,total_code_acceptances,total_code_suggestions,total_engaged_users,total_pr_summaries_created,user_login,week_start
,,,2025-07-06,,20.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2854.0,4859.0,30.0,,,2025-06-30
,,,2025-07-07,,23.0,,,days,,,0.0,,,,,,,,,,,,,,,,45.0,2310.0,3525.0,32.0,,,2025-07-07
,,,2025-07-08,,40.0,,,days,,,0.0,,,,,,,,,,,,,,,,60.0,2582.0,4445.0,42.0,,,2025-07-07
,,,2025-07-09,,58.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2242.0,3495.0,43.0,,,2025-07-07
,,,2025-07-10,,36.0,,,days,,,0.0,,,,,,,,,,,,,,,,48.0,3044.0,5248.0,33.0,,,2025-07-07
,,,2025-07-11,,20.0,,,days,,,0.0,,,,,,,,,,,,,,,,45.0,2875.0,4521.0,33.0,,,2025-07-07
,,,2025-07-12,,40.0,,,days,,,0.0,,,,,,,,,,,,,,,,39.0,1689.0,3068.0,26.0,,,2025-07-07
,,,2025-07-13,,14.0,,,days,,,0.0,,,,,,,,,,,,,,,,28.0,1517.0,2813.0,20.0,,,2025-07-07
,,,2025-07-14,,30.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2238.0,4138.0,38.0,,,2025-07-14
,,,2025-07-15,,52.0,,,days,,,0.0,,,,,,,,,,,,,,,,48.0,2237.0,3259.0,35.0,,,2025-07-14
,,,2025-07-16,,32.0,,,days,,,0.0,,,,,,,,,,,,,,,,54.0,1883.0,3506.0,39.0,,,2025-07-14
,,,2025-07-17,,41.0,,,days,,,0.0,,,,,,,,,,,,,,,,46.0,2463.0,4409.0,33.0,,,2025-07-14
,,,2025-07-18,,38.0,,,days,,,0.0,,,,,,,,,,,,,,,,48.0,2666.0,6034.0,36.0,,,2025-07-14
,,,2025-07-19,,32.0,,,days,,,0.0,,,,,,,,,,,,,,,,32.0,1816.0,3467.0,23.0,,,2025-07-14
,,,2025-07-20,,36.0,,,days,,,0.0,,,,,,,,,,,,,,,,37.0,1210.0,2352.0,22.0,,,2025-07-14
,,,2025-07-21,,40.0,,,days,,,0.0,,,,,,,,,,,,,,,,45.0,2260.0,3902.0,30.0,,,2025-07-21
,,,2025-07-22,,36.0,,,days,,,0.0,,,,,,,,,,,,,,,,51.0,2799.0,4786.0,33.0,,,2025-07-21
,,,2025-07-23,,30.0,,,days,,,0.0,,,,,,,,,,,,,,,,50.0,2388.0,4653.0,36.0,,,2025-07-21
,,,2025-07-24,,10.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,2394.0,4029.0,45.0,,,2025-07-21
,,,2025-07-25,,24.0,,,days,,,0.0,,,,,,,,,,,,,,,,51.0,1434.0,2692.0,34.0,,,2025-07-21
,,,2025-07-26,,28.0,,,days,,,0.0,,,,,,,,,,,,,,,,27.0,1234.0,2707.0,18.0,,,2025-07-21
,,,2025-07-27,,22.0,,,days,,,0.0,,,,,,,,,,,,,,,,31.0,991.0,1566.0,17.0,,,2025-07-21
,,,2025-07-28,,39.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,3629.0,5997.0,40.0,,,2025-07-28
,,,2025-07-29,,47.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,1305.0,2442.0,32.0,,,2025-07-28
,,,2025-07-30,,7.0,,,days,,,0.0,,,,,,,,,,,,,,,,54.0,3648.0,5526.0,37.0,,,2025-07-28
,,,2025-07-31,,41.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,1760.0,4201.0,39.0,,,2025-07-28
,,,2025-08-01,,47.0,,,days,,,0.0,,,,,,,,,,,,,,,,58.0,2033.0,3495.0,37.0,,,2025-07-28
,,,2025-08-02,,16.0,,,days,,,0.0,,,,,,,,,,,,,,,,32.0,2274.0,3466.0,22.0,,,2025-07-28
,,,2025-08-03,,27.0,,,days,,,0.0,,,,,,,,,,,,,,,,33.0,1151.0,2054.0,20.0,,,2025-07-28
,,,2025-08-04,,19.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2037.0,3762.0,32.0,,,2025-08-04
,,,2025-08-05,,44.0,,,days,,,0.0,,,,,,,,,,,,,,,,47.0,1604.0,3060.0,31.0,,,2025-08-04
,,,2025-08-06,,32.0,,,days,,,0.0,,,,,,,,,,,,,,,,46.0,1551.0,2969.0,32.0,,,2025-08-04
,,,2025-08-07,,39.0,,,days,,,0.0,,,,,,,,,,,,,,,,47.0,1810.0,3296.0,31.0,,,2025-08-04
,,,2025-08-08,,50.0,,,days,,,0.0,,,,,,,,,,,,,,,,52.0,2752.0,4439.0,34.0,,,2025-08-04
,,,2025-08-09,,36.0,,,days,,,0.0,,,,,,,,,,,,,,,,30.0,1202.0,2330.0,20.0,,,2025-08-04
,,,2025-08-10,,46.0,,,days,,,0.0,,,,,,,,,,,,,,,,33.0,1231.0,2237.0,22.0,,,2025-08-04
,,,2025-08-11,,34.0,,,days,,,0.0,,,,,,,,,,,,,,,,39.0,1064.0,1813.0,29.0,,,2025-08-11
,,,2025-08-12,,55.0,,,days,,,0.0,,,,,,,,,,,,,,,,50.0,1736.0,3539.0,35.0,,,2025-08-11
